,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1531,Male,0,Yes,Yes,1.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1532,Female,0,Yes,Yes,1.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,1.0,1.0,No
1533,Male,0,No,No,0.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,1.0,0.0,Yes
1534,Female,0,Yes,Yes,0.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,0.0,0.0,No
1535,Male,0,Yes,Yes,1.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),1.0,1.0,No
1536,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
1537,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,0.0,0.0,No
1538,Female,0,Yes,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,1.0,0.0,Yes
1539,Male,0,Yes,No,0.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.0,0.0,No
1540,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1541,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
1542,Female,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,1.0,1.0,Yes
1543,Male,0,Yes,Yes,0.0,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,1.0,0.0,No
1544,Male,0,No,No,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.0,0.0,Yes
1545,Male,1,Yes,No,0.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
1546,Male,0,No,No,0.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
1547,Female,0,Yes,Yes,0.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),1.0,1.0,No
1548,Female,0,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),1.0,1.0,No
1549,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
1550,Female,0,Yes,No,1.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1.0,1.0,Yes
1551,Female,0,No,No,0.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,1.0,0.0,Yes
1552,Male,0,No,No,0.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
1553,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1.0,0.0,Yes
1554,Female,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
1555,Male,0,No,Yes,1.0,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),0.0,0.0,No
1556,Male,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1557,Female,0,Yes,Yes,0.0,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
1558,Male,1,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,1.0,0.0,No
1559,Male,1,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1560,Female,0,No,No,1.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,1.0,1.0,No
1561,Male,0,Yes,Yes,1.0,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1562,Female,0,Yes,No,0.0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1.0,0.0,No
1563,Male,1,No,No,0.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,No
1564,Female,0,Yes,Yes,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.0,0.0,No
1565,Female,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
1566,Male,0,No,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
1567,Female,1,No,No,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.0,0.0,Yes
1568,Male,0,Yes,Yes,1.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,1.0,1.0,No
1569,Female,0,No,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
1570,Male,0,No,No,1.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,1.0,1.0,Yes
1571,Female,1,Yes,No,1.0,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),0.0,1.0,No
1572,Female,0,Yes,Yes,0.0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),1.0,0.0,Yes
1573,Female,0,No,No,0.0,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,0.0,0.0,Yes
1574,Male,1,Yes,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1575,Female,1,Yes,No,0.0,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),1.0,0.0,No
1576,Male,0,No,No,0.0,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,0.0,0.0,No
1577,Female,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),1.0,1.0,No
1578,Female,0,Yes,Yes,0.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.0,0.0,No
1579,Female,1,No,No,1.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.0,1.0,No
1580,Male,0,Yes,No,1.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),1.0,1.0,No
1581,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1582,Male,0,Yes,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
1583,Female,1,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,1.0,1.0,No
1584,Female,1,No,No,0.0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
1585,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,0.0,0.0,No
1586,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),0.0,0.0,No
1587,Female,0,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1.0,1.0,Yes
1588,Male,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
1589,Female,0,No,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
1590,Male,1,No,No,0.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1591,Female,0,Yes,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
1592,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1593,Male,0,Yes,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
1594,Female,0,Yes,Yes,1.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1595,Male,1,No,No,0.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1596,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,1.0,1.0,No
1597,Male,0,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
1598,Female,0,No,No,0.0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.0,0.0,Yes
1599,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),1.0,1.0,No
1600,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.0,0.0,No
1601,Male,1,Yes,Yes,1.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),1.0,1.0,No
1602,Male,1,Yes,No,0.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,Yes
1603,Male,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,0.0,0.0,No
1604,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,1.0,1.0,No
1605,Male,0,Yes,Yes,1.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),0.0,1.0,No
1606,Female,0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1607,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,1.0,1.0,Yes
1608,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
1609,Male,0,Yes,No,1.0,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),0.0,1.0,No
1610,Female,0,Yes,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),0.0,0.0,No
1611,Male,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.0,0.0,No
1612,Male,0,No,No,0.0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,0.0,0.0,No
1613,Female,1,No,No,0.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
1614,Male,0,No,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),1.0,1.0,No
1615,Female,0,Yes,Yes,0.0,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),0.0,0.0,No
1616,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
1617,Female,0,Yes,No,1.0,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Mailed check,1.0,1.0,No
1618,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1619,Female,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,1.0,1.0,Yes
1620,Female,0,Yes,No,0.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,Yes
1621,Male,0,No,No,0.0,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),0.0,0.0,No
1622,Male,0,No,No,0.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1.0,0.0,No
1623,Female,1,Yes,No,0.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,1.0,No
1624,Male,0,Yes,No,1.0,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),1.0,1.0,No
1625,Male,1,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,No
1626,Female,1,Yes,No,0.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,Yes
1627,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.0,1.0,Yes
1628,Female,0,No,No,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.0,0.0,No
1629,Male,0,Yes,Yes,1.0,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,0.0,1.0,No
1630,Female,0,No,No,0.0,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,1.0,0.0,No
1631,Female,0,No,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.0,0.0,No
1632,Male,0,No,No,1.0,No,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),0.0,0.0,No
1633,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),1.0,1.0,No
1634,Male,1,No,No,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,Yes
1635,Female,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
1636,Male,0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.0,1.0,No
1637,Female,0,Yes,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.0,0.0,No
1638,Male,0,Yes,No,1.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,No
1639,Female,0,No,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,1.0,1.0,Yes
1640,Female,1,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
1641,Female,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,1.0,1.0,No
1642,Male,0,Yes,Yes,0.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,Yes
1643,Male,1,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,1.0,No
1644,Female,0,No,No,0.0,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,0.0,0.0,No
1645,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,1.0,0.0,Yes
1646,Male,1,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1647,Male,0,Yes,No,0.0,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
1648,Male,0,Yes,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
1649,Male,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
1650,Female,0,Yes,Yes,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,Yes
1651,Female,0,No,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,1.0,1.0,No
1652,Male,0,No,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,0.0,0.0,No
1653,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),1.0,1.0,Yes
1654,Male,0,Yes,Yes,1.0,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),1.0,1.0,No
1655,Male,0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.0,0.0,No
1656,Female,1,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,1.0,No
1657,Male,0,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1658,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
1659,Female,0,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),1.0,1.0,Yes
1660,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
1661,Female,0,No,No,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
1662,Male,0,No,No,0.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),0.0,0.0,No
1663,Female,0,No,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,1.0,No
1664,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1.0,0.0,No
1665,Male,1,No,Yes,0.0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.0,0.0,Yes
1666,Male,0,Yes,Yes,1.0,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1.0,1.0,No
1667,Male,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),1.0,1.0,No
1668,Female,0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,1.0,Yes
1669,Female,0,Yes,Yes,0.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
1670,Female,0,No,No,0.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1.0,1.0,Yes
1671,Female,0,No,No,0.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
1672,Male,0,Yes,Yes,0.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
1673,Female,1,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),1.0,1.0,No
1674,Male,1,No,Yes,0.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.0,0.0,No
1675,Male,0,Yes,Yes,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,0.0,0.0,No
1676,Female,0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.0,0.0,No
1677,Male,0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,1.0,1.0,No
1678,Male,0,Yes,Yes,0.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.0,0.0,No
1679,Female,0,No,Yes,1.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.0,0.0,No
1680,Male,1,Yes,No,0.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
1681,Female,0,Yes,Yes,0.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,Yes
1682,Male,0,Yes,Yes,0.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.0,0.0,No
1683,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
1684,Male,0,Yes,Yes,0.0,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,0.0,0.0,No
1685,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1.0,1.0,No
1686,Male,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.0,0.0,No
1687,Male,0,Yes,Yes,1.0,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),0.0,0.0,No
1688,Male,0,Yes,No,1.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),1.0,1.0,No
1689,Female,0,No,No,0.0,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.0,0.0,Yes
1690,Male,0,Yes,Yes,1.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,1.0,1.0,No
1691,Male,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1692,Female,0,Yes,Yes,1.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),1.0,1.0,No
1693,Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,1.0,1.0,No
1694,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,0.0,0.0,No
1695,Male,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.0,0.0,No
1696,Female,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),1.0,1.0,Yes
1697,Female,0,Yes,No,0.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1.0,0.0,Yes
1698,Male,0,No,No,0.0,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,No
1699,Male,0,No,Yes,0.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1700,Female,1,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,1.0,1.0,No
1701,Male,0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),1.0,1.0,No
1702,Female,1,No,No,0.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,1.0,0.0,No
1703,Male,0,No,No,0.0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1.0,0.0,Yes
1704,Male,1,No,No,0.0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),1.0,0.0,No
1705,Female,0,No,No,0.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,1.0,0.0,No
1706,Female,0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.0,0.0,No
1707,Female,0,No,No,0.0,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,0.0,0.0,No
1708,Male,0,Yes,No,1.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),0.0,1.0,No
1709,Male,0,No,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),1.0,1.0,No
1710,Female,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.0,0.0,No
1711,Male,0,No,No,0.0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.0,0.0,No
